tau,w_c,v_c
  2.8000000000000003E-01,  8.3252757646592027E-02,  2.1308157617032616E-01
  2.8799999999999998E-01,  8.4685033241064578E-02,  1.5455109339208961E-01
  2.9599999999999999E-01,  8.5809396359707552E-02,  1.2179805355774150E-01
  3.0399999999999999E-01,  8.6636578120149979E-02,  1.0084492395295534E-01
  3.1200000000000000E-01,  8.7776886923840808E-02,  1.9471078805780573E-01
  3.2000000000000001E-01,  8.9547156718720849E-02,  2.2179405546748679E-01
  3.2800000000000001E-01,  9.1076279449807535E-02,  1.6367841518467163E-01
  3.3600000000000002E-01,  9.2432764625205333E-02,  1.9567058335110177E-01
  3.4399999999999997E-01,  9.4359711324541559E-02,  2.7909899329117610E-01
  3.5199999999999998E-01,  9.6588934629532788E-02,  2.5889653331656026E-01
  3.5999999999999999E-01,  9.8475810436889313E-02,  2.2792243693599060E-01
  3.6799999999999999E-01,  1.0039758078315696E-01,  2.4460615842916389E-01
  3.7600000000000000E-01,  1.0210944223333605E-01,  1.7461217208216545E-01
  3.8400000000000001E-01,  1.0334464097552934E-01,  1.4855407236220655E-01
  3.9200000000000002E-01,  1.0445907220502755E-01,  1.1708111629980916E-01
  4.0000000000000002E-01,  1.0526279525739746E-01,  1.1015515596565431E-01
  4.0799999999999997E-01,  1.0662153116522118E-01,  2.2975054741396661E-01
  4.1599999999999998E-01,  1.0854156650030850E-01,  2.2324866082931680E-01
  4.2399999999999999E-01,  1.1010381546781861E-01,  1.7520099151884030E-01
  4.3200000000000000E-01,  1.1129003970910226E-01,  1.0462755282178204E-01
  4.4000000000000000E-01,  1.1167721021357443E-01,  9.3742384496962906E-03
  4.4800000000000001E-01,  1.1187672765843985E-01,  5.6485353691622810E-02
  4.5600000000000002E-01,  1.1246430801612081E-01,  7.0874951314619919E-02
  4.6400000000000002E-01,  1.1282174622807910E-01,  1.7542173226264415E-02
  4.7199999999999998E-01,  1.1281373997260043E-01, -1.1867287418851711E-02
  4.7999999999999998E-01,  1.1279940357355343E-01,  1.6056044622387022E-02
  4.8799999999999999E-01,  1.1296205721136698E-01,  4.1230867157540495E-03
  4.9600000000000000E-01,  1.1264823700483030E-01, -7.5576597786557537E-02
  5.0400000000000000E-01,  1.1209243979488649E-01, -4.6181711873549650E-02
  5.1200000000000001E-01,  1.1188876505008230E-01, -1.6523621105418489E-02
  5.2000000000000002E-01,  1.1174378684757025E-01, -1.8891014521496143E-02
  5.2800000000000002E-01,  1.1148370073213262E-01, -6.1290699579396535E-02
  5.3600000000000003E-01,  1.1066700428731549E-01, -1.2911817094737146E-01
  5.4400000000000004E-01,  1.0975385883504873E-01, -9.1247354764254524E-02
  5.5200000000000005E-01,  1.0897078493891810E-01, -1.2655145361659340E-01
  5.6000000000000005E-01,  1.0769734219804712E-01, -1.7173823388169404E-01
  5.6799999999999995E-01,  1.0656302464845442E-01, -1.0252930082146074E-01
  5.7599999999999996E-01,  1.0604314036678947E-01, -2.9111724305913387E-02
  5.8399999999999996E-01,  1.0614571314237597E-01,  5.8815485884106844E-02
