xi,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10,mode_11,mode_12,mode_13,mode_14,mode_15,mode_16,mode_17,mode_18,mode_19,mode_20,mode_21,mode_22,mode_23,mode_24
  5.0000000000000000E-01,  4.6634329269150848E-01, -3.3840829083133211E-01, -3.6648543246870630E-01,  4.0033694877405074E-03,  2.3813077083459941E-01,  6.3555760564686536E-01,  7.1002605293860266E-01, -2.0651534271405697E-01,  2.3939402737181517E-01,  2.0292061033163175E-01,  1.7122861224675389E-02,  7.7768214980838399E-02, -3.5786713265692266E-01, -6.7134010717174974E-01, -7.0617797304907881E-01,  1.8220207765725552E-01, -2.5495882931219899E-01, -2.3641481247099666E-01, -4.5199761801948152E-02, -6.2786863621218353E-02,  3.6314672499238404E-01,  6.6480988229474347E-01,  7.0558064873746895E-01, -1.7122846484073131E-01
  5.5000000000000004E-01,  4.1640813021191220E-01, -2.9885215811684335E-01, -3.1096429301936396E-01, -2.1949942244790448E-02,  2.7499864513595479E-01,  6.7910497706050710E-01,  7.1861210440952694E-01, -1.8273290652649538E-01,  1.1955235829040811E-01, -4.5913433874723381E-02, -2.5340194502104779E-01,  1.5157602332958750E-01, -4.3411361564953987E-01, -6.9563960934940372E-01, -6.2341164776537039E-01,  1.1430522166077887E-01,  1.2950801185205777E-02,  2.3065749849177908E-01,  4.2002541177600999E-01, -1.6498764820837419E-01,  4.3753138251795787E-01,  6.2653707961077720E-01,  4.9701154667471481E-01, -5.9699540926267121E-02
  6.0000000000000009E-01,  3.6697264759768361E-01, -2.6016549988595233E-01, -2.5835611649946111E-01, -4.3602181172961593E-02,  2.9902791456528288E-01,  6.9147318250641221E-01,  6.9090135400392061E-01, -1.4690320607238525E-01, -1.2970208242940422E-02, -2.9237506634812982E-01, -4.9254536825480283E-01,  1.9994959245831892E-01, -4.1073260536454664E-01, -5.3870285103834392E-01, -3.5951326488829377E-01,  7.8645734260084730E-03,  2.7591658786235818E-01,  5.9674497574619478E-01,  6.8639293488580289E-01, -1.8031506094060454E-01,  2.4485232386986122E-01,  1.8156204706957998E-01, -5.4837019497457971E-02,  9.6718994701996436E-02
  6.5000000000000002E-01,  3.1811888145678713E-01, -2.2248950077366472E-01, -2.0911869610197906E-01, -6.0406752242046065E-02,  3.0949279951133951E-01,  6.7341385019398081E-01,  6.3088827405952608E-01, -1.0287469832620116E-01, -1.4249196640161221E-01, -5.0439637403349502E-01, -6.6609449252445296E-01,  2.1479764224832237E-01, -2.9361831515335385E-01, -2.4084701917880427E-01,  1.1062605766164418E-02, -1.0233742683185659E-01,  4.2874901838546658E-01,  7.0224333988304577E-01,  6.2774856188943140E-01, -1.0046367728666716E-01, -9.7578876405908829E-02, -3.8117927539104340E-01, -5.6814569419053063E-01,  1.8006596083207602E-01
  7.0000000000000007E-01,  2.6993270340120218E-01, -1.8597155834752777E-01, -1.6372618394874547E-01, -7.1829924681675469E-02,  3.0594524278384932E-01,  6.2691574966735486E-01,  5.4453750898721853E-01, -5.5325387670980421E-02, -2.5348120356543336E-01, -6.5478648955299312E-01, -7.5069927979211104E-01,  1.9462215985015419E-01, -1.1110097849223159E-01,  1.2086401354831007E-01,  3.8395299899570229E-01, -1.8067109907274267E-01,  4.1088127258124391E-01,  5.0093411846003910E-01,  2.7018221420660921E-01,  3.3253889398799384E-02, -3.8142012128199443E-01, -6.9624950565915433E-01, -6.8723141969919499E-01,  1.2723490353869460E-01
  7.5000000000000000E-01,  2.2250330979082339E-01, -1.5076438454709082E-01, -1.2266598516898977E-01, -7.7355856851602955E-02,  2.8822463304013396E-01,  5.5517283985421984E-01,  4.3961425523394554E-01, -9.5163110952882317E-03, -3.3208298494169086E-01, -7.2476198928748314E-01, -7.3769922789400189E-01,  1.4501361526585788E-01,  9.2435270352737020E-02,  4.5294754109884283E-01,  6.5579691857662259E-01, -2.0286466298893430E-01,  2.3109871339070834E-01,  8.0024997680894217E-02, -2.2104693150879950E-01,  1.5192212152189780E-01, -4.3468214905182845E-01, -5.5878803959792711E-01, -3.2765652668586093E-01, -2.2770087811619478E-02
  8.0000000000000004E-01,  1.7592271845785759E-01, -1.1702513478177796E-01, -8.6435895046119510E-02, -7.6490004292931707E-02,  2.5645445983878673E-01,  4.6250142233106140E-01,  3.2543980941714157E-01,  2.8974491019479107E-02, -3.6742638566117408E-01, -7.0645248923896498E-01, -6.3499909239628072E-01,  7.7998164237191095E-02,  2.6649643840331411E-01,  6.7018903738651348E-01,  7.5536288700136411E-01, -1.6470045997110178E-01, -3.5303022794307276E-02, -3.7812431388801859E-01, -6.2098247241285298E-01,  1.9590208253720037E-01, -2.2736532412031832E-01, -5.7227189184012886E-02,  2.6707984146682695E-01, -1.5889635023667834E-01
  8.5000000000000009E-01,  1.3028527334271522E-01, -8.4914568328254336E-02, -5.5541509997743384E-02, -6.8760756089494751E-02,  2.1102574949447023E-01,  3.5421213157271392E-01,  2.1259448464999053E-01,  5.4507783768192569E-02, -3.5254814021694714E-01, -6.0406894734194427E-01, -4.6680538429902235E-01,  1.0422791128895711E-02,  3.6555843259782661E-01,  7.1831433797770605E-01,  6.6630161370726648E-01, -8.4530663519355551E-02, -2.7549131832627372E-01, -6.7602718355268399E-01, -7.5423391960839958E-01,  1.4763677677686149E-01,  1.0856090948890258E-01,  4.8468487309812613E-01,  6.9775133786196131E-01, -1.8336535710454241E-01
  9.0000000000000002E-01,  8.5687158001961625E-02, -5.4596243774509078E-02, -3.0493943813374048E-02, -5.3719150957427519E-02,  1.5256739471507488E-01,  2.3644450324964134E-01,  1.1259454208555884E-01,  6.1597174891595476E-02, -2.8480380258338933E-01, -4.3360407208504409E-01, -2.7140094650462471E-01, -3.8222779446623778E-02,  3.5852013365822027E-01,  5.8883875720573031E-01,  4.3562151922140374E-01,  8.3215568657887568E-04, -3.8199280696292931E-01, -6.8820984375148819E-01, -5.8424510103340188E-01,  4.4037965680515705E-02,  3.5587642800277541E-01,  7.1934192917765072E-01,  6.9455599720927252E-01, -8.9425998822175570E-02
  9.5000000000000007E-01,  4.2225918973052320E-02, -2.6235753343969010E-02, -1.1807881070252917E-02, -3.0936531278730389E-02,  8.1903739325974514E-02,  1.1597364253763243E-01,  3.7573390664138819E-02,  4.5049440403805346E-02, -1.6568348529596183E-01, -2.2113563660540220E-01, -9.7495226121446663E-02, -4.7988222704132173E-02,  2.3403420010617090E-01,  3.2239866838028181E-01,  1.6657986942869893E-01,  4.4781467189370226E-02, -2.9120280454748326E-01, -4.1797276875474060E-01, -2.4391539250071478E-01, -3.6219836419565762E-02,  3.3618762825574033E-01,  5.0392201117298840E-01,  3.2534324771258272E-01,  2.3496939231496396E-02
